,order_id,plu_id,plu_hierarchy_lvl_2_desc,plu_hierarchy_lvl_3_desc
2116721,824714090,3450510,Сопутствующие товары (Food),Целлюлозная и ватная продукция
1280024,768162840,3671957,Замороженные продукты,Замороженные полуфабрикаты
2364233,804099556,4303154,"Соки, воды, пиво","Напитки, квас, тоник"
1896317,807191818,4208221,Молочная гастрономия,Традиц.кислом.прод-ия
2402854,825768192,4235929,Молочная гастрономия,Соврем.кислом.прод-ия
1755172,869979883,4271634,Детское питание (Food),Детские консервированные смеси
1021758,704481094,31893,Овощи - Фрукты,Овощи/Зелень
2364353,864413586,3148279,Овощи - Фрукты,Фрукты/Экзотика
211612,654428061,3684652,"Соки, воды, пиво","Напитки, квас, тоник"
1261848,745008533,4249316,Молочная гастрономия,Соврем.кислом.прод-ия
879042,687756353,4325082,Бакалея (Food),Масло растительное
773757,723664258,4066121,Детское питание (Food),Прочее детское питание
1519629,772775081,4347949,Мясо и мясные изделия,Мясо и П/Ф охлажденые
628455,701058306,2043716,Молочная гастрономия,Масложировые продукты
496919,642318803,3664287,Молочная гастрономия,Традиц.кислом.прод-ия
776189,704371603,4245104,"Готовая кулинария, салаты",Гот.блюда охл.ПРИСТ
673661,696476254,3485660,Молочная гастрономия,Молоко
1837050,872312572,21004,Молочная гастрономия,Сыры
2332996,852079507,4038852,Детское питание (Fresh),Детские молочные продукты
2070342,864030230,4227615,Молочная гастрономия,Соврем.кислом.прод-ия
1775021,865664153,3670825,Мясная гастрономия,Колбасные изделия
1998196,806552521,60526,Овощи - Фрукты,Фрукты/Экзотика
592752,726284182,3203097,Молочная гастрономия,Соврем.кислом.прод-ия
1754822,903126096,3043871,Овощи - Фрукты,Овощи/Зелень
31172,677821758,4225855,Молочная гастрономия,Сыры
869286,721307316,3403324,"Соки, воды, пиво","Напитки, квас, тоник"
595882,718134578,37168,"Соки, воды, пиво",Вода
1435467,787827584,2138999,Овощи - Фрукты,Овощи/Зелень
592397,723712398,4132825,Кондитерские изделия (Food),"Шоколад, батончики"
1558754,788196706,4106388,"Соки, воды, пиво","Напитки, квас, тоник"
1834525,830856848,3644563,Сопутствующие товары (Food),Упаковочные материалы (Food)
1238121,776129278,3153446,Птица и изделия из птицы,Птица и П/Ф охлажденые
266509,660188377,3294644,Овощи - Фрукты,Овощи/Зелень
1528045,769667680,3469284,"Соки, воды, пиво","Напитки, квас, тоник"
1450104,758839759,3373718,"Соки, воды, пиво",Вода
937682,715136127,3368414,Хлеб СП,Изделия слоеные СП
212430,645408365,4289394,"Готовая кулинария, салаты",Гот.блюда охл.ПРИСТ
650030,683029798,4274234,Молочная гастрономия,Соврем.кислом.прод-ия
461324,643899272,3908600,Молочная гастрономия,Сыры
49546,647168873,3460853,Рыбная гастрономия,Рыба соленая
1638993,760396033,3651187,Молочная гастрономия,Традиц.кислом.прод-ия
1703037,811711711,4118844,Детское питание (Food),Детские смеси
1326317,785277376,3986508,Кондитерские изделия (Food),Чипсы
1435293,749533355,4249263,Овощи - Фрукты,Овощи/Грибы
2303465,806220126,4298846,"Хлеб, хлебобулочные изделия (Food)",Хлеб прочий
637145,722452028,3643602,Рыбная гастрономия,Крабовые палочки и мясо охлажденные
511348,641620413,3607261,Кондитерские изделия (Food),"Печенье, крекер"
1172692,714868328,3411329,Сопутствующие товары (Food),Упаковочные материалы (Food)
1177826,688788089,3985404,"Хлеб, хлебобулочные изделия (Food)",Хлеб пшеничный
708965,690419887,3648084,Овощи - Фрукты,Овощи/Грибы
870754,699961447,53020,Бакалея (Food),Продукция быстрого приготовления
1111217,732782117,4343162,Товары спец.акций_2,Товары спец.акций_3
387555,658325004,4322737,Молочная гастрономия,Соврем.кислом.прод-ия
1245265,784821969,3043871,Овощи - Фрукты,Овощи/Зелень
699783,730048519,4066181,Детское питание (Fresh),Детские молочные продукты
2098041,835350646,4347952,Кондитерские изделия (Food),"Шоколад, батончики"
495771,661604572,3153446,Птица и изделия из птицы,Птица и П/Ф охлажденые
1195068,716090549,3277287,Молочная гастрономия,Соврем.кислом.прод-ия
1369653,774163713,3922314,Молочная гастрономия,Молоко
304037,672209976,4099977,Овощи - Фрукты,Фрукты/Экзотика
1581636,758259648,3624438,Птица и изделия из птицы,Птица и П/Ф охлажденые
134342,647160122,3074007,Овощи - Фрукты,Овощи/Зелень
319883,641381854,3262406,Овощи - Фрукты,Фрукты/Ягоды
337188,650893762,4261759,Сопутствующие товары (Food),Средства для ухода за бельем и одеждой
868626,699547062,2149541,"Хлеб, хлебобулочные изделия (Food)",Хлеб ржаной
1323955,777972258,4354093,Корма для животных,Корма для собак
281487,645849517,43347,Овощи - Фрукты,Овощи/Грибы
1532343,757170640,2143824,Кондитерские изделия (Food),"Кексы, рулеты"
1246369,779464237,3684909,Молочная гастрономия,Традиц.кислом.прод-ия
1587854,781428649,75726,Сопутствующие товары (Food),Целлюлозная и ватная продукция
2055724,834603324,3291332,Кондитерские изделия (Food),Конфеты
379475,669303686,809,Овощи - Фрукты,Фрукты/Ягоды
1352894,752234141,31893,Овощи - Фрукты,Овощи/Зелень
1529542,774600108,70526,Сопутствующие товары (Food),Средства личной гигиены
251857,673368332,3658779,Замороженные продукты,Рыба замороженная
1786797,816385084,3422693,"Хлеб, хлебобулочные изделия (Food)",Бараночные изделия
872868,726283152,2111189,Молочная гастрономия,Молоко
2066500,806950804,4293252,Кондитерские изделия (Food),"Зефир, мармелад, пастила"
1235374,776226862,85884,Бакалея (Food),Масло растительное
665997,686341318,4286008,"Хлеб, хлебобулочные изделия (Food)",Хлеб пшеничный
359426,672932140,48687,Овощи - Фрукты,Овощи/Грибы
1369600,765001671,4287007,Мясо и мясные изделия,Мясо и П/Ф охлажденые
1201150,682139832,4266096,Бакалея (Food),Крупы и зерновые
176898,656947629,3219528,"Хлеб, хлебобулочные изделия (Food)",Хлеб пшеничный
795061,730697010,3656937,"Готовая кулинария, салаты",Соленья ПРИСТ.
2004049,870678953,3198641,Детское питание (Food),Детские смеси
554314,653003575,3669213,Сопутствующие товары (Food),"Моющие,чистящие средства"
1405119,760039219,4259990,Кондитерские изделия (Food),Чипсы
1171136,710333552,3655737,Овощи - Фрукты,Овощи/Грибы
1566422,752852655,79337,Овощи - Фрукты,Фрукты/Экзотика
1660589,737005562,4328123,Замороженные продукты,Замороженные полуфабрикаты
1557688,790329318,2050947,Сопутствующие товары (Food),Средства для ухода за бельем и одеждой
179302,675777137,4324309,Товары спец.акций_2,Товары спец.акций_3
386083,644689302,3653933,Мясная гастрономия,Колбасные изделия
1651011,744701357,3929,Бакалея (Food),Чай
1877187,868273347,3472180,Кондитерские изделия (Food),"Печенье, крекер"
1800653,812177359,2138999,Овощи - Фрукты,Овощи/Зелень
75448,664432824,4312739,Молочная гастрономия,Молоко
2138548,878550780,4117042,Овощи - Фрукты,Овощи/Грибы
1357500,757283384,57375,"Соки, воды, пиво",Вода
2308893,830205391,3651189,Молочная гастрономия,Традиц.кислом.прод-ия
