,order_id,plu_id,plu_hierarchy_lvl_2_desc,plu_hierarchy_lvl_3_desc
1326100,780137584,3684254,Детское питание (Food),"Детские соки, чай, вода"
1400361,775010966,32529,"Соки, воды, пиво",Вода
16618,664365178,4125461,Мясная гастрономия,Колбасные изделия
999470,709216950,4254388,Кондитерские изделия (Food),Шоколадные пасты
226177,664022736,47642,Овощи - Фрукты,Фрукты/Экзотика
1678305,749555580,3468689,Бакалея (Food),"Сухие завтраки, мюсли"
1508611,736166519,4118761,Корма для животных,Корма для кошек
128175,654627756,3667232,Бакалея (Food),Крупы и зерновые
1836539,856540081,3641571,Молочная гастрономия,Традиц.кислом.прод-ия
302853,674197537,31893,Овощи - Фрукты,Овощи/Зелень
611617,710020110,3934933,Бакалея (Food),Крупы и зерновые
701619,714175833,4132873,"Хлеб, хлебобулочные изделия (Food)",Бараночные изделия
2341314,865198422,3439566,"Хлеб, хлебобулочные изделия (Food)",Хлеб прочий
284510,654899278,809,Овощи - Фрукты,Фрукты/Ягоды
1848929,838269681,4288209,Бакалея (Food),Специи
572593,697912036,64128,Бакалея (Food),Масло растительное
717248,726266180,3639626,Мясная гастрономия,Колбасные изделия
794573,698855307,3373718,"Соки, воды, пиво",Вода
2088108,807745823,4306878,Птица и изделия из птицы,Птица и П/Ф охлажденые
470785,649602430,3613271,Бакалея (Food),Сухие компоненты и смеси (Food)
1479958,776018107,4252812,Корма для животных,Корма для кошек
1394599,766093750,3625266,Сопутствующие товары (Food),Средства для ухода за бельем и одеждой
654785,708350508,4121613,Молочная гастрономия,Традиц.кислом.прод-ия
1473765,739914124,3341914,Овощи - Фрукты,Овощи/Зелень
169225,649619766,4264579,"Готовая кулинария, салаты",Гот.блюда охл.ПРИСТ
446103,670698798,3619732,Мясо и мясные изделия,Мясо и П/Ф охлажденые
1134594,712630143,3407477,Молочная гастрономия,Традиц.кислом.прод-ия
96859,670716509,4288277,Бакалея (Food),Сухофрукты
1215319,723108218,3423233,Замороженные продукты,Мороженое
1731634,873912637,809,Овощи - Фрукты,Фрукты/Ягоды
696858,722833203,3369506,Сопутствующие товары (Food),Хозяйственные принадлежности
1301960,744095297,3612778,Молочная гастрономия,Масложировые продукты
441140,655324930,3388814,Молочная гастрономия,Сыры
656967,715833590,3449118,Сопутствующие товары (Food),Целлюлозная и ватная продукция
525788,643232763,4227629,Молочная гастрономия,Соврем.кислом.прод-ия
2145419,902426010,2126653,Кондитерские изделия (Food),Вафли
244165,644116389,4216695,"Готовая кулинария, салаты",Гот.блюда охл.ПРИСТ
2038688,805132184,4295516,Сопутствующие товары (Food),"Моющие,чистящие средства"
331381,657269851,3357380,"Хлеб, хлебобулочные изделия (Food)",Хлеб прочий
1973084,868509447,4376446,Кондитерские изделия (Food),"Шоколад, батончики"
1509540,777098179,4243884,Птица и изделия из птицы,Птица и П/Ф охлажденые
1457543,773751740,3262366,Бакалея (Food),Уксус
212481,655932262,33080,Кондитерские изделия (Food),Чипсы
174553,654829418,3634514,Мясная гастрономия,Деликатесы
772654,725923132,3335498,Молочная гастрономия,Сыры
1188128,718335055,4332026,Кондитерские изделия (Food),"Кексы, рулеты"
469740,642706053,2149542,"Хлеб, хлебобулочные изделия (Food)",Хлеб пшеничный
2146279,840750722,4344431,"Готовая кулинария, салаты",Гот.блюда охл.ПРИСТ
805532,725659157,2139003,Овощи - Фрукты,Овощи/Зелень
736542,715700389,2110594,Бакалея (Food),Макаронные изделия
2043729,873926620,2138999,Овощи - Фрукты,Овощи/Зелень
2382310,858989315,3449118,Сопутствующие товары (Food),Целлюлозная и ватная продукция
1589730,748300569,4308289,Диабетическое питание,Кондитерка диабетическая
1514848,762516195,45105,Бакалея (Food),Макаронные изделия
1252582,763278010,50911,Овощи - Фрукты,Фрукты/Экзотика
2326984,812518167,3332809,Молочная гастрономия,Масложировые продукты
315752,675847585,3062836,Молочная гастрономия,Яйцо
1318645,752715506,12834,Молочная гастрономия,Соврем.кислом.прод-ия
813099,716891807,3190693,"Соки, воды, пиво","Соки, нектары"
726290,726115077,3043871,Овощи - Фрукты,Овощи/Зелень
701334,733628525,4221768,Овощи - Фрукты,Овощи/Грибы
2268025,862275936,4175216,Мясная гастрономия,Колбасные изделия
1063957,683951275,2085981,Молочная гастрономия,Молоко
1863832,882502918,4257872,Мясная гастрономия,Деликатесы
434605,656783962,79032,Овощи - Фрукты,Фрукты/Ягоды
783574,703174804,3639615,Мясная гастрономия,Колбасные изделия
1382728,783067627,3219401,Бакалея (Food),Макаронные изделия
705710,717021443,53480,Овощи - Фрукты,Овощи/Зелень
88263,667391887,3284334,"Хлеб, хлебобулочные изделия (Food)",Хлеб прочий
1578281,758042942,3956853,Сопутствующие товары (Food),"Моющие,чистящие средства"
1992548,882089510,3489557,Мясная гастрономия,Колбасные изделия
2117409,885629589,2138999,Овощи - Фрукты,Овощи/Зелень
406360,669284929,4007886,Бакалея (Food),Продукция быстрого приготовления
1603931,737988793,3501014,Детское питание (Food),Детские консервированные смеси
1045408,709850439,3357066,Овощи - Фрукты,Овощи/Грибы
395010,646975680,4122161,Кондитерские изделия (Food),"Печенье, крекер"
2044374,881567818,4135159,Мясная гастрономия,Колбасные изделия
68100,647248328,4255754,"Соки, воды, пиво","Напитки, квас, тоник"
2343216,807820984,4215524,Замороженные продукты,Мороженое
385119,647731848,55839,"Хлеб, хлебобулочные изделия (Food)",Бараночные изделия
374898,644096834,2073280,Птица и изделия из птицы,Птица и П/Ф охлажденые
1995,664903341,3021692,Овощи - Фрукты,Фрукты/Ягоды
340544,662197477,625,Бакалея (Food),Сахар
537574,658132920,4204100,Кондитерские изделия (Food),Вафли
418510,663999737,60526,Овощи - Фрукты,Фрукты/Экзотика
967903,689031838,4037654,Бакалея (Food),Макаронные изделия
603179,723411460,3986839,Молочная гастрономия,Сыры
1938905,898481218,3463779,Молочная гастрономия,Соврем.кислом.прод-ия
624151,692018268,3645237,Мясная гастрономия,Колбасные изделия
1782093,872559187,3653572,Мясная гастрономия,Колбасные изделия
2202095,850911394,3601418,Молочная гастрономия,Соврем.кислом.прод-ия
1297377,785041418,3312878,Овощи - Фрукты,Овощи/Зелень
647003,723402594,4216819,Бакалея (Food),Консервы овощные
1316181,775759181,4208867,Замороженные продукты,Мороженое
2312177,866976341,2046792,Сопутствующие товары (Food),Средства для бритья
1495238,762189191,4328123,Замороженные продукты,Замороженные полуфабрикаты
1367699,742703854,3632860,Кондитерские изделия (Food),"Печенье, крекер"
574817,692496574,3683337,Молочная гастрономия,Традиц.кислом.прод-ия
1770192,867457878,4102653,Молочная гастрономия,Сыры
2327525,902677557,3979649,Молочная гастрономия,Сливки
2386869,842805084,4261976,"Готовая кулинария, салаты",Гот.блюда охл.ПРИСТ
383195,678037893,3225815,Бакалея (Food),Сахар
279645,661705386,3388220,"Соки, воды, пиво",Вода
299167,643714642,3283073,Диабетическое питание,Кондитерка диабетическая
1355921,744695270,98225,Кондитерские изделия (Food),Конфеты
1262139,751921186,3219701,Овощи - Фрукты,Овощи/Грибы
2025458,887775744,3441245,Товары для животных,Товары для кошек
2080290,818252028,4286889,Сопутствующие товары (Food),Средства для душа
2313697,801843954,4191429,"Готовая кулинария, салаты",Гот.блюда охл.ПРИСТ
188333,659598515,3671633,Молочная гастрономия,Сливки
1008291,734415910,4054823,Мясная гастрономия,Колбасные изделия
1182368,717130192,4102191,Замороженные продукты,Рыба замороженная
1067096,706572928,4264470,"Соки, воды, пиво",Вода
2077899,876549999,4198172,Корма для животных,Корма для кошек
490070,653220964,47115,"Соки, воды, пиво",Вода
553445,650252185,4223899,Молочная гастрономия,Молоко
2217302,869757542,3415967,Замороженные продукты,Замороженная плодоовощная продукция
1752525,886882890,2173555,Птица и изделия из птицы,Птица и П/Ф охлажденые
1615872,774596555,64840,Бакалея (Food),Соль
334829,654816666,3923579,Сопутствующие товары (Food),Средства для ухода за бельем и одеждой
1474844,779547883,4262697,Молочная гастрономия,Традиц.кислом.прод-ия
1578214,752121543,5793,Овощи - Фрукты,Фрукты/Ягоды
1433568,747844640,4049144,"Хлеб, хлебобулочные изделия (Food)",Хлеб ржаной
1646736,737939877,3666702,Замороженные продукты,Замороженные полуфабрикаты
983474,693516969,3670270,Молочная гастрономия,Сыры
1827415,822381721,809,Овощи - Фрукты,Фрукты/Ягоды
1874138,857210502,3670270,Молочная гастрономия,Сыры
540681,661547334,4287276,"Готовая кулинария, салаты",Гот.блюда охл.ПРИСТ
899330,702066979,3662341,Молочная гастрономия,Соврем.кислом.прод-ия
910458,703286024,86385,Рыбная гастрономия,Крабовые палочки и мясо охлажденные
2279278,840375963,3199747,Молочная гастрономия,Молоко
1947884,895029368,4371112,Кондитерские изделия (Food),"Кексы, рулеты"
1814737,899993928,4208483,Бакалея (Food),Макаронные изделия
357270,648854666,4129486,Сопутствующие товары (Food),Средства для ухода за бельем и одеждой
1317032,751198655,4298876,"Хлеб, хлебобулочные изделия (Food)","Пироги, изделия сдобные"
1761026,893322713,3923407,Рыбная гастрономия,Рыба соленая
665308,709525534,49874,Овощи - Фрукты,Фрукты/Ягоды
1936778,853033831,4362747,Молочная гастрономия,Соврем.кислом.прод-ия
1537619,789063565,3630970,Молочная гастрономия,Традиц.кислом.прод-ия
1266101,774526028,2039589,"Хлеб, хлебобулочные изделия (Food)",Хлеб прочий
718127,689402252,4135133,Корма для животных,Корма для кошек
2032478,902869964,4354543,Молочная гастрономия,Традиц.кислом.прод-ия
1368398,778782538,3619732,Мясо и мясные изделия,Мясо и П/Ф охлажденые
1039391,725975280,4289175,"Готовая кулинария, салаты",Гот.блюда охл.ПРИСТ
2346480,869590857,4267624,Птица и изделия из птицы,Птица и П/Ф охлажденые
1996218,832676949,4159720,Детское питание (Fresh),Детские молочные продукты
668400,694928744,3682422,Молочная гастрономия,Соврем.кислом.прод-ия
2006744,862886102,2149542,"Хлеб, хлебобулочные изделия (Food)",Хлеб пшеничный
232528,670251036,4262920,Молочная гастрономия,Традиц.кислом.прод-ия
319464,672514876,4292794,"Готовая кулинария, салаты",Гот.блюда охл.ПРИСТ
1906952,816489562,3671743,Кондитерские изделия (Food),Чипсы
349286,652275469,3200674,Детское питание (Food),"Детские соки, чай, вода"
1760686,885353359,3062836,Молочная гастрономия,Яйцо
393504,652116025,3472642,Бакалея (Food),Специи
885541,702960329,3955995,Молочная гастрономия,Яйцо
1072697,724635948,4087402,Молочная гастрономия,Соврем.кислом.прод-ия
1043550,734686010,3385815,Мясная гастрономия,Колбасные изделия
1786965,797484458,4291325,Бакалея (Food),"Кофе, какао, шоколад"
2256104,848470040,78005190,Кондитерские изделия (Food),Конфеты
2413729,843522609,4135488,Замороженные продукты,Рыба замороженная
1245140,782661930,3659097,Молочная гастрономия,Молоко
855231,712272977,4147945,Кондитерские изделия (Food),Конфеты
706109,731438109,4343162,Товары спец.акций_2,Товары спец.акций_3
537758,662751845,3673236,Птица и изделия из птицы,Птица и П/Ф охлажденые
154085,670093903,4037647,Бакалея (Food),Макаронные изделия
314096,674559086,4252536,Замороженные продукты,Замороженная плодоовощная продукция
1709575,864850813,4290208,Молочная гастрономия,Соврем.кислом.прод-ия
28773,679364123,23714,Бакалея (Food),Масло растительное
909206,722469709,3950922,Кондитерские изделия (Food),"Печенье, крекер"
7161,677032599,2139003,Овощи - Фрукты,Овощи/Зелень
376663,648712778,3488518,Корма для животных,Корма для кошек
802757,714759431,4154477,Мясная гастрономия,Колбасные изделия
237285,674701647,809,Овощи - Фрукты,Фрукты/Ягоды
776664,712168181,3446169,Замороженные продукты,Рыба замороженная
564790,711095630,2093081,Молочная гастрономия,Молоко
301509,677249692,4135313,Мясо и мясные изделия,Мясо и П/Ф охлажденые
581166,693239429,4158389,Молочная гастрономия,Сыры
525614,671075185,4261904,Молочная гастрономия,Сыры
8422,674743491,3203097,Молочная гастрономия,Соврем.кислом.прод-ия
1336825,753203620,3672062,Молочная гастрономия,Сыры
2319242,826357692,3425200,Сопутствующие товары (Food),Крема и товары для красоты
615811,709389736,4117042,Овощи - Фрукты,Овощи/Грибы
247764,645841789,88781,Бакалея (Food),Специи
154350,671105039,3074007,Овощи - Фрукты,Овощи/Зелень
799780,706852247,4044854,"Соки, воды, пиво","Соки, нектары"
117572,658391942,3634676,"Соки, воды, пиво","Соки, нектары"
2087503,902242956,4288713,Замороженные продукты,Мороженое
618981,713468267,5793,Овощи - Фрукты,Фрукты/Ягоды
810156,717624368,2093081,Молочная гастрономия,Молоко
1197001,686856896,2147891,Бакалея (Food),Чай
710917,695281266,3658095,Молочная гастрономия,Масложировые продукты
773314,682861998,3507134,Бакалея (Food),Консервы рыбные
581838,717486024,48595,Овощи - Фрукты,Фрукты/Ягоды
2152200,876265494,3062836,Молочная гастрономия,Яйцо
2358228,886257133,3062836,Молочная гастрономия,Яйцо
192461,644736228,3665624,Молочная гастрономия,Традиц.кислом.прод-ия
440663,669075241,4194675,Молочная гастрономия,Соврем.кислом.прод-ия
1832082,808245988,4264678,Мясная гастрономия,Колбасные изделия
2226491,891509517,4138521,Молочная гастрономия,Сыры
1376409,783287405,4019601,Замороженные продукты,Мороженое
928669,689343431,4312365,"Соки, воды, пиво","Напитки, квас, тоник"
767965,692952653,3431900,Сопутствующие товары (Food),Ароматизаторы
746242,696692195,3364667,Молочная гастрономия,Сыры
1367113,739726675,4095507,"Хлеб, хлебобулочные изделия (Food)","Пироги, изделия сдобные"
680917,728180823,4276710,Диабетическое питание,Кондитерка диабетическая
817452,714728566,30711,Сопутствующие товары (Food),Средства для ухода за бельем и одеждой
562866,647445472,2085981,Молочная гастрономия,Молоко
160456,665714381,4044938,Бакалея (Food),Соусы
2331651,871030725,4351339,Молочная гастрономия,Традиц.кислом.прод-ия
1216051,732637422,4314613,Молочная гастрономия,Сыры
1658265,738182553,3415786,Бакалея (Food),Консервы овощные
1959970,842052352,28810,Рыбная гастрономия,Икра
1626254,773629542,197,Овощи - Фрукты,Овощи/Зелень
1782085,852750214,18387,Овощи - Фрукты,Овощи/Зелень
1193453,692929388,78005698,Кондитерские изделия (Food),Конфеты
2059388,846915012,4225986,Корма для животных,Корма для кошек
1790496,899694380,809,Овощи - Фрукты,Фрукты/Ягоды
1200660,716551851,2065120,"Хлеб, хлебобулочные изделия (Food)",Хлеб пшеничный
2287006,824256329,31893,Овощи - Фрукты,Овощи/Зелень
1963916,851317767,4275294,Сопутствующие товары (Food),Средства для ухода за бельем и одеждой
766821,694173394,3455562,Овощи - Фрукты,Фрукты/Ягоды
1005556,718359134,3634908,Молочная гастрономия,Традиц.кислом.прод-ия
1069064,689714870,4221768,Овощи - Фрукты,Овощи/Грибы
1019487,729288498,53715,Молочная гастрономия,Десерты
1576438,755494178,2073281,Птица и изделия из птицы,Птица и П/Ф охлажденые
1656564,749939488,24276,Кондитерские изделия (Food),Жевательная резинка
67750,657417096,3467275,Молочная гастрономия,Масложировые продукты
388656,642870955,37461,Молочная гастрономия,Молоко
1826101,885061732,3667779,Детское питание (Food),Прочее детское питание
1854,672369835,4324309,Товары спец.акций_2,Товары спец.акций_3
462707,659788755,2073280,Птица и изделия из птицы,Птица и П/Ф охлажденые
1678873,747015718,4055336,Бакалея (Food),Соусы
1007746,732580267,3062835,Молочная гастрономия,Яйцо
1469026,745920621,3608030,Замороженные продукты,Замороженная плодоовощная продукция
2102318,900728454,4345321,Молочная гастрономия,Соврем.кислом.прод-ия
853208,705736793,3928499,Сопутствующие товары (Food),Крема и товары для красоты
1498661,737215460,4312550,Молочная гастрономия,Масложировые продукты
2052199,857444698,16401,Молочная гастрономия,Сыры
667171,689233480,3450507,Сопутствующие товары (Food),Целлюлозная и ватная продукция
79011,668466292,4061271,Молочная гастрономия,Сыры
2050898,830139597,2085981,Молочная гастрономия,Молоко
846387,728525990,4302493,Мясо и мясные изделия,Фарш
149160,678852493,3974933,Сопутствующие товары (Food),Ароматизаторы
1306116,741931958,3643999,Кондитерские изделия (Food),"Печенье, крекер"
2304545,831692212,3463717,Бакалея (Food),Сухие компоненты и смеси (Food)
1535324,785590285,3043871,Овощи - Фрукты,Овощи/Зелень
2297896,859567826,2138999,Овощи - Фрукты,Овощи/Зелень
2331188,876297843,4301347,Мясная гастрономия,Колбасные изделия
1407216,761815736,3263196,Сопутствующие товары (Food),Целлюлозная и ватная продукция
2186071,889705896,3191300,Птица и изделия из птицы,Птица и П/Ф охлажденые
1409963,746235488,2250692,Овощи - Фрукты,Овощи/Грибы
458761,673705049,4217907,Молочная гастрономия,Традиц.кислом.прод-ия
1179084,702287327,3640592,Птица и изделия из птицы,Птица и П/Ф охлажденые
2065991,798757997,807,Овощи - Фрукты,Фрукты/Ягоды
41650,652681142,4047772,Молочная гастрономия,Молоко
1376831,760809725,3277287,Молочная гастрономия,Соврем.кислом.прод-ия
1597578,764939658,14374,Овощи - Фрукты,Овощи/Зелень
1728283,866055903,3604762,Овощи - Фрукты,Овощи/Грибы
669873,723461943,4274201,Молочная гастрономия,Традиц.кислом.прод-ия
1023213,716972415,3493108,Сопутствующие товары (Food),Целлюлозная и ватная продукция
681567,724415366,4139632,Кондитерские изделия (Food),"Печенье, крекер"
1684630,779305119,4322113,Молочная гастрономия,Сыры
2115054,830331710,3182864,Молочная гастрономия,Яйцо
1631018,749945273,28396,Овощи - Фрукты,Овощи/Грибы
2318130,843374096,3219528,"Хлеб, хлебобулочные изделия (Food)",Хлеб пшеничный
1503605,767475773,7315,Бакалея (Food),Крупы и зерновые
1089094,705522424,4179231,Молочная гастрономия,Соврем.кислом.прод-ия
2286936,879029001,3235380,Бакалея (Food),Консервы овощные
7565,664715877,3460325,"Хлеб, хлебобулочные изделия (Food)",Бараночные изделия
1356700,748789581,2050923,Сопутствующие товары (Food),"Моющие,чистящие средства"
1387351,765937623,3985381,Замороженные продукты,Мороженое
553099,659327547,4301028,"Соки, воды, пиво","Соки, нектары"
196810,662308436,3194287,Кондитерские изделия (Food),"Печенье, крекер"
1858804,852559212,4364078,Сопутствующие товары (Food),Средства для ухода за бельем и одеждой
894273,711287752,4087060,Замороженные продукты,Мороженое
1726120,890928292,4063280,Молочная гастрономия,Сливки
1029495,690367293,2069612,Молочная гастрономия,Молоко
2061367,805222413,4271772,Овощи - Фрукты,Фрукты/Ягоды
653752,705908388,2138420,Кондитерские изделия (Food),"Шоколад, батончики"
1362987,786005090,3688758,Кондитерские изделия (Food),Жевательная резинка
1804855,872610561,4230860,Мясная гастрономия,Колбасные изделия
567438,686749365,4214450,Мясная гастрономия,Колбасные изделия
191512,659791430,3387627,Мясо и мясные изделия,Фарш
1453522,751889449,4265846,Диабетическое питание,Кондитерка диабетическая
2114072,799198874,78000159,Овощи - Фрукты,Фрукты/Ягоды
1943279,897968907,80181,"Соки, воды, пиво","Соки, нектары"
2112986,903578980,4217621,Мясная гастрономия,Колбасные изделия
2228172,859577833,4103219,"Хлеб, хлебобулочные изделия (Food)",Хлеб прочий
1854023,801718875,3203928,Молочная гастрономия,Молоко
1225979,771545065,3154164,Бакалея (Food),Продукция быстрого приготовления
2282855,844118410,4039926,Сопутствующие товары (Food),Целлюлозная и ватная продукция
155656,668754115,197,Овощи - Фрукты,Овощи/Зелень
1050244,698194798,2164566,Бакалея (Food),Соусы
267417,651597765,1556,Овощи - Фрукты,Овощи/Грибы
1377366,779401452,4044854,"Соки, воды, пиво","Соки, нектары"
1514293,763911827,3697856,Молочная гастрономия,Соврем.кислом.прод-ия
1017234,688524831,4329936,Кондитерские изделия (Food),"Шоколад, батончики"
102535,666842102,3977405,"Соки, воды, пиво",Вода
861774,720259568,3440967,Мясная гастрономия,Колбасные изделия
1630251,768047421,3697856,Молочная гастрономия,Соврем.кислом.прод-ия
2125720,848435286,4243884,Птица и изделия из птицы,Птица и П/Ф охлажденые
365867,670435792,3450505,Сопутствующие товары (Food),Целлюлозная и ватная продукция
1548726,767242693,4090118,Бакалея (Food),Мука
314835,648459152,3661124,Бакалея (Food),Семечки
828494,697885085,4217380,Овощи - Фрукты,Овощи/Грибы
2039187,835170672,3219524,"Хлеб, хлебобулочные изделия (Food)",Хлеб пшеничный
212682,673329568,3624025,Кондитерские изделия (Food),Чипсы
2165746,813955181,4122812,Бакалея (Food),Чай
2419560,892723843,3205434,Корма для животных,Корма для собак
1442513,790330738,3357380,"Хлеб, хлебобулочные изделия (Food)",Хлеб прочий
591996,723212142,43693,"Соки, воды, пиво",Вода
2227680,873670765,3153446,Птица и изделия из птицы,Птица и П/Ф охлажденые
1466574,750401497,809,Овощи - Фрукты,Фрукты/Ягоды
1611066,789899624,3658261,Овощи - Фрукты,Овощи/Зелень
1763339,835286477,3941480,Кондитерские изделия (Food),"Печенье, крекер"
2392039,878584317,3191300,Птица и изделия из птицы,Птица и П/Ф охлажденые
1714581,843969576,3673236,Птица и изделия из птицы,Птица и П/Ф охлажденые
614941,702623519,2139003,Овощи - Фрукты,Овощи/Зелень
2275748,855022190,4198753,Молочная гастрономия,Десерты
590513,696453714,3404094,"Хлеб, хлебобулочные изделия (Food)",Хлеб ржаной
1171724,722405953,3230933,Бакалея (Food),Сахар
2017709,881504725,77001549,Овощи - Фрукты,Овощи/Зелень
1428914,738456284,3230933,Бакалея (Food),Сахар
35596,666462497,4109507,Кондитерские изделия (Food),"Шоколад, батончики"
131521,647163194,20615,Молочная гастрономия,Соврем.кислом.прод-ия
957230,702929589,3062835,Молочная гастрономия,Яйцо
1214528,730959221,3603592,Замороженные продукты,Мороженое
2049369,860301947,198,Овощи - Фрукты,Овощи/Грибы
1761679,813396840,4199268,Молочная гастрономия,Яйцо
1250215,758880252,3424981,"Соки, воды, пиво",Вода
1949144,901999612,4007208,Птица и изделия из птицы,Птица и П/Ф охлажденые
867520,710278495,4205392,Бакалея (Food),Консервы овощные
1030866,699963143,4213891,"Соки, воды, пиво","Напитки, квас, тоник"
1473993,751335690,3943069,Сопутствующие товары (Food),Средства для ухода за бельем и одеждой
426624,672606246,4309948,Молочная гастрономия,Соврем.кислом.прод-ия
742592,729199111,3674200,Бакалея (Food),Крупы и зерновые
872608,730312815,3631395,Птица и изделия из птицы,Птица и П/Ф охлажденые
1642768,778458192,3628337,Молочная гастрономия,Масложировые продукты
641539,705777681,3194287,Кондитерские изделия (Food),"Печенье, крекер"
586734,696477543,2070399,Бакалея (Food),Чай
987824,714648800,3389796,"Соки, воды, пиво","Напитки, квас, тоник"
2220649,896280132,3193121,Рыбная гастрономия,"Рыба вяленая, сушеная"
693131,695959768,3665624,Молочная гастрономия,Традиц.кислом.прод-ия
1365141,757235424,4218727,"Хлеб, хлебобулочные изделия (Food)",Хлеб прочий
1455051,748890052,4291329,Бакалея (Food),"Кофе, какао, шоколад"
1035616,693078964,4196510,Мясная гастрономия,Колбасные изделия
1720557,881644112,4329936,Кондитерские изделия (Food),"Шоколад, батончики"
1866865,882646481,3013417,"Соки, воды, пиво","Напитки, квас, тоник"
953958,723841810,4298521,Замороженные продукты,Замороженная плодоовощная продукция
1393517,786790278,18520,Сопутствующие товары (Food),Целлюлозная и ватная продукция
1802779,823232825,88570,Овощи - Фрукты,Овощи/Зелень
1738276,875451969,68163,Замороженные продукты,Замороженная плодоовощная продукция
1110984,698599936,4174151,Молочная гастрономия,Традиц.кислом.прод-ия
874425,711956163,4323051,Птица и изделия из птицы,Птица и П/Ф охлажденые
1008334,710459556,2046261,Бакалея (Food),Масло растительное
1953259,834069588,88570,Овощи - Фрукты,Овощи/Зелень
1160116,716425538,4339918,"Готовая кулинария, салаты",Гот.блюда охл.ПРИСТ
839171,705460666,3219528,"Хлеб, хлебобулочные изделия (Food)",Хлеб пшеничный
369416,671169663,3670270,Молочная гастрономия,Сыры
1298984,788187579,3656100,Молочная гастрономия,Соврем.кислом.прод-ия
247952,654896604,3415703,Сопутствующие товары (Food),Ароматизаторы
1173639,722459126,4250688,Бытовая техника,Элементы питания
139785,659389239,88570,Овощи - Фрукты,Овощи/Зелень
1311845,783658020,3426326,Бакалея (Food),"Варенье, мёд"
308631,671961234,4116781,Мясная гастрономия,Колбасные изделия
151090,671736792,3466348,Бакалея (Food),Крупы и зерновые
1818751,803714323,46398,Бакалея (Food),Чай
1201573,703689616,21473,Кондитерские изделия (Food),Конфеты
1919460,864682383,3626624,Молочная гастрономия,Соврем.кислом.прод-ия
1940174,887955732,4249855,Корма для животных,Корма для кошек
198165,659635275,3478641,Сопутствующие товары (Food),Хозяйственные принадлежности
1546146,777927779,3234987,Бакалея (Food),Консервы овощные
1971901,814685516,3969344,Молочная гастрономия,Соврем.кислом.прод-ия
1186757,727834130,3406278,Сопутствующие товары (Food),Средства для волос
1336467,770975200,3979649,Молочная гастрономия,Сливки
253666,648203053,4271772,Овощи - Фрукты,Фрукты/Ягоды
1380201,753927577,3486018,Молочная гастрономия,Традиц.кислом.прод-ия
241642,649502807,4288090,Мясо и мясные изделия,Фарш
2105959,878335581,2085953,Молочная гастрономия,Традиц.кислом.прод-ия
2128665,895159296,27460,Бакалея (Food),Консервы овощные
29862,675118283,4279818,Бакалея (Food),Соусы
1265982,780889121,3601010,Сопутствующие товары (Food),Целлюлозная и ватная продукция
2223167,859979515,3637167,Птица и изделия из птицы,Птица и П/Ф охлажденые
1976863,806895705,4115012,Бакалея (Food),Специи
1839097,808551645,3677375,Молочная гастрономия,Соврем.кислом.прод-ия
489185,655993624,412,Овощи - Фрукты,Овощи/Грибы
1110745,684001029,3014253,Кондитерские изделия (Food),"Сухарики, снеки"
1313652,765375227,3500750,Сопутствующие товары (Food),"Моющие,чистящие средства"
1438948,749544269,4017525,"Соки, воды, пиво",Пиво
1666461,766414014,4230860,Мясная гастрономия,Колбасные изделия
211992,678134398,4152769,Бакалея (Food),"Варенье, мёд"
2148341,896669899,43347,Овощи - Фрукты,Овощи/Грибы
713823,729157400,4255938,"Соки, воды, пиво","Напитки, квас, тоник"
1370131,766278118,4072852,Птица и изделия из птицы,Птица и П/Ф охлажденые
27893,643001095,23714,Бакалея (Food),Масло растительное
1398820,750954875,37169,"Соки, воды, пиво",Вода
1548280,792112748,4272749,Бакалея (Food),Сухие компоненты и смеси (Food)
2350240,874532831,3469277,Мясная гастрономия,Колбасные изделия
247989,644119455,3341070,Кондитерские изделия (Food),Жевательная резинка
145198,674032309,4097612,Замороженные продукты,Замороженные полуфабрикаты
1723236,816989817,3191300,Птица и изделия из птицы,Птица и П/Ф охлажденые
1843267,843387899,25,Кондитерские изделия (Food),Конфеты
1795361,868431204,3667232,Бакалея (Food),Крупы и зерновые
1481237,763051959,4274973,Бакалея (Food),Соусы
842927,728403173,53713,Молочная гастрономия,Десерты
268996,646097030,3926815,Молочная гастрономия,Сыры
244705,654632330,3219528,"Хлеб, хлебобулочные изделия (Food)",Хлеб пшеничный
675628,718240967,3953590,Овощи - Фрукты,Овощи/Зелень
125708,652275824,4276930,"Хлеб, хлебобулочные изделия (Food)",Хлеб прочий
1625044,738030997,55659,Корма для животных,Корма для собак
857415,724314383,3293011,Молочная гастрономия,Традиц.кислом.прод-ия
28386,677797902,3617778,Молочная гастрономия,Традиц.кислом.прод-ия
1921924,871199002,4039113,Корма для животных,Корма для кошек
475753,663510524,3074007,Овощи - Фрукты,Овощи/Зелень
1154135,727034912,202,Овощи - Фрукты,Овощи/Грибы
883264,689191090,4212278,Замороженные продукты,Мороженое
1383674,789178204,4343382,"Готовая кулинария, салаты",Гот.блюда охл.ПРИСТ
961883,721754591,3219554,"Хлеб, хлебобулочные изделия (Food)",Хлеб ржаной
2131538,835076155,4201226,Кондитерские изделия (Food),"Печенье, крекер"
2087386,808720387,3645808,Молочная гастрономия,Молоко
468286,644799923,3671743,Кондитерские изделия (Food),Чипсы
844887,717213919,4037645,Бакалея (Food),Макаронные изделия
719827,734727042,4230669,Мясо и мясные изделия,Мясо и П/Ф охлажденые
