,plu_id,plu_hierarchy_lvl_2_desc,plu_width_amt,plu_depth_amt,plu_height_amt,Квант
1284,4279779.0,"Соки, воды, пиво",6.8,6.8,25.2,12.0
1285,4261061.0,Бакалея (Food),11.0,4.4,7.5,
1286,3489655.0,Детские товары (Food),5.4,4.0,14.1,12.0
1287,3463551.0,Кондитерские изделия (Food),20.0,6.0,32.0,
1288,4289870.0,ФК Кулинария и салаты,13.2,16.4,4.4,
1289,9209.0,Овощи - Фрукты,8.0,8.0,20.0,
1290,4132503.0,Кондитерские изделия (Fresh),23.0,23.0,10.1,1.0
1291,4318588.0,Замороженные продукты,14.0,14.0,7.0,
1292,4317625.0,"Готовая кулинария, салаты",13.2,16.4,5.5,
1293,4264409.0,Диабетическое питание,12.2,2.0,11.0,
1294,4121223.0,Кондитерские изделия (Food),7.4,1.1,16.8,
1295,4134824.0,Бакалея (Food),3.0,10.0,17.0,
1296,4113184.0,Кондитерские изделия (Food),7.0,1.2,2.0,
1297,4384739.0,"Готовая кулинария, салаты",13.8,18.5,3.6,2.0
1298,3900572.0,Диабетическое питание,14.0,6.0,19.0,
1299,4181441.0,Бакалея (Food),6.5,6.5,9.6,
1300,3504115.0,Кондитерские изделия (Food),16.0,4.0,7.0,
1301,3695167.0,Молочная гастрономия,15.4,7.2,24.8,12.0
1302,4349403.0,Бакалея (Food),4.6,12.4,19.5,8.0
1303,28749.0,Товары для ремонта,6.0,1.6,13.0,
1304,3386209.0,Мясная гастрономия,16.0,19.5,5.0,3.0
1305,4281434.0,Молочная гастрономия,20.7,20.0,1.8,
1306,4274117.0,Молочная гастрономия,5.2,5.2,17.8,
1307,2063355.0,"Соки, воды, пиво",8.7,8.7,33.5,
1308,4177572.0,Молочная гастрономия,7.5,7.0,20.5,
1309,3922309.0,Молочная гастрономия,8.3,8.3,26.0,6.0
1310,3220803.0,Кондитерские изделия (Food),23.0,5.2,19.4,8.0
1311,4108879.0,Замороженные продукты,19.0,3.0,19.0,
1312,4297178.0,"Соки, воды, пиво",7.0,7.0,26.5,
1313,3965693.0,Сопутствующие товары (Food),19.2,9.3,35.3,
1314,4100552.0,Сопутствующие товары (Food),24.7,12.5,11.4,
1315,4323144.0,Бакалея (Food),10.5,6.0,21.0,10.0
1316,3603803.0,Кондитерские изделия (Food),14.5,4.8,6.8,
1317,4251150.0,Сопутствующие товары (Food),8.7,3.9,20.5,6.0
1318,3200024.0,Бакалея (Food),14.0,4.0,19.0,
1319,4262139.0,Кондитерские изделия (Food),15.6,1.0,7.8,
1320,4029085.0,Бакалея (Food),10.0,7.0,18.0,
1321,4272728.0,Бакалея (Food),10.0,0.8,14.0,
1322,4381232.0,Замороженные продукты,9.3,6.5,6.5,12.0
1323,4249892.0,Детское питание (Fresh),9.2,6.6,4.8,
1324,3631524.0,Бакалея (Food),8.5,8.5,5.5,
1325,4259014.0,"Готовая кулинария, салаты",13.2,16.4,4.4,
1326,4312495.0,Диабетическое питание,6.2,5.0,1.8,
1327,4289299.0,Молочная гастрономия,9.0,9.0,2.5,6.0
1328,26923.0,Мясная гастрономия,13.0,19.0,1.0,
1329,4180727.0,Мясная гастрономия,11.5,4.0,13.5,
1330,52306.0,Бакалея (Food),28.5,4.2,18.5,
1331,3907553.0,Кондитерские изделия (Food),6.5,25.5,5.0,
1332,4092224.0,Овощи - Фрукты,20.0,25.0,20.0,
1333,4327535.0,Молочная гастрономия,5.2,5.2,17.8,
1334,4228667.0,Детские товары (Food),3.7,6.3,19.0,
1335,4096013.0,"Хлеб, хлебобулочные изделия (Food)",32.5,38.0,0.8,12.0
1336,2093572.0,Молочная гастрономия,12.5,12.5,13.5,
1337,4354538.0,Бакалея (Food),7.9,3.2,15.7,
1338,3647847.0,Бакалея (Food),13.0,7.0,22.5,
1339,4169707.0,Кондитерские изделия (Food),12.0,20.0,4.0,
1340,48670.0,Овощи - Фрукты,20.0,20.0,20.0,
1341,4272719.0,Бакалея (Food),8.5,8.5,10.5,
1342,4359488.0,"Соки, воды, пиво",6.3,6.5,21.3,
1343,4330611.0,Бакалея (Food),11.0,4.0,18.0,
1344,4282635.0,Корма для животных,11.0,28.0,28.0,
1345,4254614.0,Молочная гастрономия,6.0,6.0,12.0,
1346,4158560.0,Кондитерские изделия (Food),13.0,8.0,18.0,10.0
1347,3679690.0,Бакалея (Food),16.0,3.0,21.5,
1348,3002391.0,Бакалея (Food),13.0,1.0,15.5,24.0
1349,4368996.0,Мясная гастрономия,14.0,15.5,5.0,8.0
1350,3931619.0,Кондитерские изделия (Food),23.0,3.0,9.5,17.0
1351,3680076.0,"Соки, воды, пиво",6.4,6.4,16.8,24.0
1352,26457.0,Мясная гастрономия,14.0,5.0,21.0,
1353,3634154.0,Бакалея (Food),12.8,4.0,19.0,
1354,4308822.0,Корма для животных,8.8,8.8,2.4,16.0
1355,4262209.0,Кондитерские изделия (Food),25.0,15.0,10.0,5.0
1356,3642691.0,"Соки, воды, пиво",6.4,6.4,15.0,
1357,3914348.0,Овощи - Фрукты,11.8,8.8,7.3,6.0
1358,3371079.0,Диабетическое питание,16.4,3.4,14.8,
1359,4053658.0,Кондитерские изделия (Food),7.0,0.776,14.9,
1360,4377949.0,Диабетическое питание,10.0,3.5,6.0,15.0
1361,4353447.0,Кондитерские изделия (Food),7.1,0.9,15.0,
1362,3332104.0,Одежда,17.0,0.5,22.7,
1363,4267464.0,Мясо и мясные изделия,15.0,19.0,6.0,
1364,3196547.0,"Соки, воды, пиво",7.5,7.0,24.0,
1365,3422693.0,"Хлеб, хлебобулочные изделия (Food)",16.0,5.0,19.0,24.0
1366,4233313.0,Мясная гастрономия,14.5,6.7,6.7,
1367,4368690.0,Кондитерские изделия (Food),12.0,2.0,15.3,15.0
1368,3665686.0,Бакалея (Food),10.0,7.2,22.0,
1369,3412318.0,"Хлеб, хлебобулочные изделия (Food)",15.5,7.0,7.0,
1370,4149859.0,Бакалея (Food),10.1,6.0,10.6,
1371,4169429.0,Замороженные продукты,20.0,3.0,22.0,
1372,4250429.0,Сопутствующие товары (Food),24.0,5.0,5.0,
1373,3196674.0,"Соки, воды, пиво",5.0,5.0,15.0,
1374,4122685.0,Алкоголь,8.2,8.2,31.7,
1375,4024069.0,Бакалея (Food),9.0,5.5,18.5,
